## S87 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 1
## Plan files scanned: 21
## Session .md files scanned (cited_in scope): 22
## Total edges (deduped): 147
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S87-VII-PROP-LANDING-A -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-VII-PROP-LANDING-A: PASS'
[EDGE:anchored_in] gates:S87-W3-3D-JOINT-LITEBIRD-LISA-FISHER-DISCOUNT -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W3-3D-JOINT-LITEBIRD-LISA-FISHER-DISCOUNT: PASS'
[EDGE:anchored_in] gates:S87-W3-3E-LITEBIRD-LISA-NULL-ELIMINATION-CROSS-CHECK -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W3-3E-LITEBIRD-LISA-NULL-ELIMINATION-CROSS-CHECK: FAIL'
[EDGE:anchored_in] gates:S87-F-NL-FOLDED-W14-4-LANGUAGE-CORRECTION -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-F-NL-FOLDED-W14-4-LANGUAGE-CORRECTION: FAIL'
[EDGE:anchored_in] gates:S87-TYPE-F-PER-MODE-PHASE-AUDIT -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-TYPE-F-PER-MODE-PHASE-AUDIT: FAIL'
[EDGE:anchored_in] gates:S87-CROSS-PILLAR-3-CHANNEL-THEOREM-PROOF -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-CROSS-PILLAR-3-CHANNEL-THEOREM-PROOF: INFO'
[EDGE:anchored_in] gates:S87-F-NL-FOLDED-2-OBSERVABLE-REGISTRY-SPLIT -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-F-NL-FOLDED-2-OBSERVABLE-REGISTRY-SPLIT: FAIL'
[EDGE:anchored_in] gates:S87-TYPE-F-TYPE-S-CROSS-PILLAR-AUDIT -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-TYPE-F-TYPE-S-CROSS-PILLAR-AUDIT: FAIL'
[EDGE:anchored_in] gates:S87-OPERATOR-PROJECTION-SEPARATION-RULE-PROMOTE -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-OPERATOR-PROJECTION-SEPARATION-RULE-PROMOTE: FAIL'
[EDGE:anchored_in] gates:S87-PILLAR-III-IV-BRIDGE-PERMANENT-LAND -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-PILLAR-III-IV-BRIDGE-PERMANENT-LAND: FAIL'
[EDGE:anchored_in] gates:S87-W11-C6-MUSR-FALSIFIER -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W11-C6-MUSR-FALSIFIER: PASS'
