## S92 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 14 (+ 18 in workshops/)
## Total edges (deduped): 84
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-92/workshops/s92-vii-ba-composite-bridge-map-dimensional-class.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-vii-ba-composite-bridge-map-dimensional-class.md | match='mack (mack-cosmic-bridge)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-vii-ba-composite-bridge-map-dimensional-class.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-vii-ba-composite-bridge-map-dimensional-class.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-92/workshops/s92-vii-ba-composite-bridge-map-dimensional-class.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-vii-ba-composite-bridge-map-dimensional-class.md | match='## Round 1 — mack'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-vii-ba-composite-bridge-map-dimensional-class.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-vii-ba-composite-bridge-map-dimensional-class.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-92/workshops/s92-vii-ba-composite-bridge-map-dimensional-class.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-vii-ba-composite-bridge-map-dimensional-class.md | match='## Round 2 — mack'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-vii-ba-composite-bridge-map-dimensional-class.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-vii-ba-composite-bridge-map-dimensional-class.md | match='## Round 3 — connes'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-92/workshops/s92-vii-ba-composite-bridge-map-dimensional-class.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-vii-ba-composite-bridge-map-dimensional-class.md | match='## Round 3 — mack'
[EDGE:participates_in] researchers:loop-quantum-gravity-theorist -> data_provenance:sessions/archive/session-92/workshops/session-92-lqg-phonon-first-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-92/workshops/session-92-lqg-phonon-first-workshop.md | match='loop-quantum-gravity (loop-quantum-gravity-theorist)'
[EDGE:participates_in] researchers:phonon-first-cosmologist -> data_provenance:sessions/archive/session-92/workshops/session-92-lqg-phonon-first-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-92/workshops/session-92-lqg-phonon-first-workshop.md | match='phonon-first (phonon-first-cosmologist)'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:sessions/archive/session-92/workshops/session-92-lqg-phonon-first-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/session-92-lqg-phonon-first-workshop.md | match='## Round 1 — phonon-first'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:sessions/archive/session-92/workshops/session-92-lqg-phonon-first-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/session-92-lqg-phonon-first-workshop.md | match='## Round 2 — phonon-first'
